"id_restaurant","id_reting","id_makanan","id_provinsi","id_kabupaten","nama_tempat","alamat","long","lat"
"1","1","1","36","3673","Sate Bandeng Ibu Amenah Serang","Jl. Sayabulu km 1, Lingk No.11, RT.2/RW.1, Dalung, Kec. Cipocok Jaya, Kota Serang, Banten 42127, Indonesia","106.149564","-6.143376"
"2","2","1","36","3673","Sate Bandeng - Bekakak Ayam Hj. Mariyam","Tengah, Jl. Ki Uju No.63, RT.003/RW.002, Tengah, Kec. Serang, Kota Serang, Banten 42116, Indonesia","106.150161","-6.120695"
"3","3","1","36","3673","Sate Bandeng Ibu Aliyah","Jl. Lopang Gede III, Lopang, Kec. Serang, Kota Serang, Banten 42111, Indonesia","106.157729","-6.106640"
"4","4","2","36","3673","Rabeg Khas Serang H. Naswi (Magersari)","Jl. Mayor Safei No.30, Kotabaru, Kec. Serang, Kota Serang, Banten 42112, Indonesia","106.152353","-6.112720"
"5","5","2","36","3673","Warung Dahar Rabeg Khas Wong Banten","Jalan Ayip Usman, Link. Cikepuh, Unyur, Kec. Serang, Kota Serang, Banten 42111, Indonesia","106.170051","-6.105310"
"6","6","2","36","3672","Nasi Rabeg Khas Cilegon","Jl. Cut Nyak Dien, Jombang Wetan, Kec. Jombang, Kota Cilegon, Banten 42411, Indonesia","106.053926","-6.018510"
"7","7","3","36","3604","Warung Nasi Gerem Asem","Tanara, Serang Regency, Banten 42194, Indonesia","106.365856","-6.033919"
"8","8","3","36","3604","Lesehan Gerem Asem","Susukan, Tirtayasa, Serang Regency, Banten 42193, Indonesia","106.294041","-6.003790"
"9","9","3","36","3673","Kedai Gerem Asem (Masakan Khas Pontang)","Pengampelan, Walantaka, Serang City, Banten 42183, Indonesia","106.247909","-6.142791"
"10","10","4","36","3673","Ketan Bintul Teh Ipah","Jl. Maulana Hasanudin No.82, Kotabaru, Kec. Serang, Kota Serang, Banten 42112, Indonesia","106.154395","-6.111150"
"11","11","4","36","3673","Ketan Bintul Ibu Hamdanah","kampung baru, Kagungan, Kec. Serang, Kota Serang, Banten 42114, Indonesia","106.153338","-6.106209"
"12","12","4","36","3673","Ketan Bintul Hj. Ras Kaujon","Rumah cat putih depan kuburan, Jl. 45 no. 05, Jl. Kaujon Kidul No.013, RT.03, Serang, Banten 42116, Indonesia","106.147480","-6.122006"
"13","13","5","36","3673","Nasi Bakar Sumsum Pisangmas - SERANG","Pisang Mas, Jl. KH. TB. Achmad Khotib No.2, Cipare, Kec. Serang, Kota Serang, Banten 42117, Indonesia","106.157551","-6.118225"
"14","14","5","36","3673","Nasi Sumsum Mang Puri Asli","Jl. Kelapa Dua, Lontarbaru, Kec. Serang, Kota Serang, Banten 42115, Indonesia","106.147909","-6.108320"
"15","15","5","36","3673","Nasi Bakar Sumsum Ibu Mae, Permata","Jl. Intan No.72, Cipare, Kec. Serang, Kota Serang, Banten 42117, Indonesia","106.168229","-6.128522"
"16","16","6","36","3601","RM Cep Udin Angeun Lada","Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten 42211, Indonesia","106.109559","-6.301019"
"17","17","7","31","3171","Kerak telor Betawi","Jalan.H.Mali No.30, RT.9/RW.8, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","106.823141","-6.340648"
"18","18","7","31","3173","KERAK TELOR KHAS BETAWI MAMPANG","RT.3/RW.5, Menteng, Central Jakarta City, Jakarta 10310, Indonesia","106.828781","-6.197139"
"19","19","7","31","3171","KERAK TELOR BANG DHORY","Jl. Wr. Jati Bar. IV, RT.14/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia","106.832581","-6.267864"
"20","20","8","31","3171","Soto Betawi Haji Husen","Jl. Padang Panjang No. 6C Pasar Manggis Setiabudi Jakarta Selatan DKI Jakarta 8 8, RT.8/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850, Indonesia","106.844839","-6.213032"
"21","21","8","31","3173","Soto Betawi H. Maruf","Jl. RP. Soeroso No.36A 2, RT.2/RW.13, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia","106.835961","-6.191948"
"22","22","8","31","3171","Soto Betawi Mpok Rodemah","Jl. Ciputat Raya No.29 1, RT.1/RW.12, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","106.775220","-6.271121"
"23","23","9","31","3172","Asinan Betawi H.Mansyur Kamboja","Jl. Taman Kamboja No.10 8, RT.8/RW.11, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","106.884973","-6.200867"
"24","24","9","31","3172","Asinan Betawi Asymuni/H. Udin/Hj. Tati","Jalan Pisangan Baru RT 002, RW05 No.31, Kec. Matraman, Daerah Khusus Ibukota Jakarta 13110, Indonesia","106.867136","-6.211622"
"25","25","9","31","3174","Asinan Betawi Bang Sawal","Jl. Arjuna Utara No.12, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","106.792234","-6.182204"
