"id_reting","nilai","jumlah_reting"
"1","5","228"
"2","5","642"
"3","4","952"
"4","4","1006"
"5","4","220"
"6","5","391"
"7","5","2"
"8","4","37"
"9","5","4"
"10","4","21"
"11","5","2"
"12","0","0"
"13","4","257"
"14","5","73"
"15","5","1"
"16","4","527"
"17","5","19"
"18","5","2"
"19","5","113"
"20","5","3669"
"21","4","747"
"22","5","206"
"23","5","5395"
"24","5","1464"
"25","4","30"
"26","4","1413"
"27","4","544"
"28","4","591"
"29","5","1233"
"30","4","170"
"31","5","5"
"32","4","10"
"33","5","24"
"34","5","1265"
"35","4","51"
"36","4","18"
"37","5","4"
"38","5","1"
"39","5","18"
"40","4","1154"
"41","4","2"
"42","4","78"
"43","5","50"
"44","5","89"
"45","4","88"
"46","4","1347"
"47","4","74"
"48","4","1845"
"49","5","81"
"50","5","6"
"51","5","5"
"52","5","3"
"53","5","681"
"54","5","13"
"55","5","16"
"56","5","119"
"57","5","619"
"58","4","445"
"59","5","176"
"60","5","13"
"61","5","30"
"62","5","2"
"63","5","351"
"64","5","9"
"65","5","30"
"66","5","61"
"67","5","9"
"68","5","3"
"69","5","16"
"70","5","11"
"71","4","112"
"72","5","211"
"73","5","3672"
"74","4","6105"
"75","4","27861"
"76","5","1233"
"77","4","6329"
"78","4","369"
"79","0","0"
"80","5","16"
"81","4","95"
"82","5","14496"
"83","5","3"
"84","5","139"
"85","5","2"
"86","0","0"
"87","3","1"
"88","4","698"
"89","5","23"
"90","5","8"
"91","5","3"
"92","4","14"
"93","5","3"
"94","5","1758"
"95","5","455"
"96","5","23"
"97","4","1362"
"98","4","11"
"99","4","4335"
"100","4","1519"
"101","5","71"
"102","5","6862"
"103","4","8762"
"104","5","10"
"105","4","9"
"106","5","194"
"107","5","245"
"108","5","391"
"109","4","457"
"110","5","55"
"111","4","13"
"112","5","6"
"113","5","55"
"114","4","1408"
"115","5","218"
"116","4","2786"
"117","4","346"
"118","5","331"
"119","5","51"
"120","4","317"
"121","5","1"
"122","4","7847"
"123","4","2124"
"124","4","2551"
"125","4","3177"
"126","0","0"
"127","4","47"
"128","0","0"
"129","4","59"
"130","4","1523"
"131","4","5"
"132","4","4"
"133","4","36"
"134","5","176"
"135","5","9"
"136","5","113"
"137","5","203"
"138","5","3"
"139","4","14"
"140","5","19"
"141","5","7"
"142","5","2"
"143","5","4"
"144","0","0"
"145","5","4"
"146","4","14"
"147","5","59"
"148","5","2"
"149","4","307"
"150","5","1"
"151","5","1"
"152","5","32"
"153","4","78"
"154","4","38"
"155","4","50"
"156","5","45"
"157","5","1742"
"158","4","236"
"159","4","559"
"160","4","107"
"161","5","88"
"162","4","238"
"163","4","425"
"164","5","73"
"165","4","789"
"166","5","1620"
"167","5","769"
"168","4","1070"
"169","5","161"
"170","5","9"
"171","5","145"
"172","5","49"
"173","5","59"
"174","5","31"
"175","5","14"
"176","5","32"
"177","5","4"
"178","5","71"
"179","5","4"
"180","5","2"
"181","4","5"
"182","5","4"
"183","0","0"
"184","3","2"
"185","5","72"
"186","5","2"
"187","5","6"
"188","5","8822"
"189","5","19840"
"190","5","413"
"191","5","69"
"192","4","1930"
"193","5","131"
"194","4","10"
"195","5","10"
"196","4","1451"
"197","5","5"
"198","4","244"
"199","4","1048"
"200","5","64"
"201","5","3"
"202","4","27"
"203","5","699"
"204","5","1207"
"205","5","4"
"206","5","858"
"207","5","1170"
"208","4","481"
"209","5","29"
"210","5","2"
"211","5","1"
"212","5","16"
"213","5","20"
"214","5","7"
"215","5","14"
